start_time,end_time,speaker_id
00:00:00,00:00:01,1
00:00:01,00:00:02,0
00:00:03,00:00:07,0
00:00:07,00:00:20,1
00:00:20,00:00:21,0
00:00:21,00:00:29,1
00:00:29,00:00:30,0
00:00:30,00:00:41,1
00:00:41,00:00:44,1
00:00:44,00:00:46,0
00:00:46,00:00:47,1
00:00:47,00:00:49,0
00:00:49,00:00:53,1
00:00:53,00:00:53,0
00:00:53,00:00:56,1
00:00:56,00:00:58,0
00:01:00,00:01:01,1
00:01:02,00:01:03,1
00:01:03,00:01:09,0
00:01:09,00:01:11,1
00:01:11,00:01:14,0
00:01:15,00:01:16,0
00:01:16,00:01:21,1
00:01:21,00:01:24,0
00:01:24,00:01:31,1
00:01:31,00:01:33,1
00:01:33,00:01:36,0
00:01:37,00:01:39,0
00:01:39,00:01:43,1
00:01:43,00:01:52,0
00:01:52,00:01:54,1
00:01:54,00:02:01,0
00:02:01,00:02:03,1
00:02:03,00:02:04,0
00:02:04,00:02:11,1
00:02:20,00:02:22,0
00:02:22,00:02:22,1
00:02:22,00:02:23,0
00:02:23,00:02:23,1
00:02:23,00:02:23,0
00:02:28,00:02:33,1
00:02:33,00:02:34,0
00:02:34,00:02:38,1
00:02:38,00:02:48,0
00:02:48,00:02:49,1
00:02:49,00:03:05,0
00:03:06,00:03:13,0
00:03:18,00:03:20,0
00:03:20,00:03:30,1
00:03:30,00:03:30,0
00:03:30,00:03:30,1
00:03:30,00:03:31,0
00:03:31,00:03:33,1
00:03:36,00:03:56,1
00:03:58,00:04:04,1
00:04:04,00:04:07,0
00:04:07,00:04:12,1
00:04:13,00:04:17,0
00:04:17,00:04:18,1
00:04:19,00:04:30,0
00:04:30,00:04:46,1
00:04:46,00:04:53,0
00:04:53,00:04:55,1
00:04:55,00:05:05,0
00:05:05,00:05:05,1
00:05:05,00:05:07,0
00:05:07,00:05:07,1
00:05:09,00:05:10,1
00:05:15,00:05:26,1
00:05:27,00:05:29,1
00:05:30,00:05:32,0
00:05:32,00:05:33,1
00:05:34,00:05:35,0
00:05:36,00:05:40,1
00:05:41,00:05:42,0
00:05:43,00:05:45,1
00:05:45,00:05:53,0
00:05:53,00:05:53,1
00:05:53,00:05:54,0
00:05:54,00:05:54,1
00:05:54,00:06:00,0
00:06:00,00:06:02,1
00:06:02,00:06:06,0
00:06:06,00:06:07,1
00:06:07,00:06:07,0
00:06:07,00:06:07,1
00:06:07,00:06:12,0
00:06:15,00:06:16,0
00:06:17,00:06:22,1
00:06:22,00:06:27,0
00:06:27,00:06:33,1
00:06:33,00:06:36,0
00:06:36,00:06:45,1
00:06:45,00:06:46,0
00:06:46,00:06:53,1
00:06:56,00:06:59,0
00:07:00,00:07:01,1
