start_time,end_time,speaker_id
00:00:00,00:00:00,1
00:00:01,00:00:07,2
00:00:07,00:00:10,1
00:00:10,00:00:13,1
00:00:13,00:00:19,1
00:00:19,00:00:21,2
00:00:21,00:00:29,1
00:00:29,00:00:30,2
00:00:30,00:00:32,1
00:00:32,00:00:41,1
00:00:42,00:00:44,1
00:00:44,00:00:46,2
00:00:46,00:00:47,1
00:00:47,00:00:49,2
00:00:49,00:00:52,1
00:00:53,00:00:56,1
00:00:56,00:00:58,2
00:00:59,00:01:01,1
00:01:02,00:01:03,1
00:01:04,00:01:09,2
00:01:09,00:01:12,1
00:01:12,00:01:14,2
00:01:15,00:01:16,2
00:01:16,00:01:21,1
00:01:21,00:01:23,2
00:01:23,00:01:28,1
00:01:29,00:01:30,1
00:01:31,00:01:32,1
00:01:33,00:01:35,2
00:01:35,00:01:36,2
00:01:37,00:01:38,2
00:01:38,00:01:43,1
00:01:43,00:01:52,2
00:01:52,00:01:53,1
00:01:54,00:01:56,2
00:01:56,00:02:01,2
00:02:01,00:02:03,1
00:02:03,00:02:04,2
00:02:04,00:02:11,1
00:02:19,00:02:23,2
00:02:23,00:02:24,1
00:02:27,00:02:29,1
00:02:29,00:02:32,1
00:02:32,00:02:34,2
00:02:34,00:02:37,1
00:02:38,00:02:42,2
00:02:42,00:02:48,2
00:02:49,00:02:57,2
00:02:57,00:03:01,2
00:03:01,00:03:02,1
00:03:02,00:03:03,2
00:03:03,00:03:05,2
00:03:06,00:03:13,2
00:03:18,00:03:21,2
00:03:21,00:03:25,1
00:03:25,00:03:32,1
00:03:33,00:03:33,2
00:03:36,00:03:56,1
00:03:57,00:04:04,1
00:04:04,00:04:07,2
00:04:07,00:04:12,1
00:04:13,00:04:15,2
00:04:16,00:04:23,2
00:04:23,00:04:31,2
00:04:31,00:04:42,1
00:04:42,00:04:47,1
00:04:47,00:04:52,2
00:04:52,00:04:55,1
00:04:55,00:05:05,2
00:05:05,00:05:07,2
00:05:09,00:05:10,1
00:05:14,00:05:16,1
00:05:16,00:05:26,1
00:05:26,00:05:29,1
00:05:30,00:05:31,2
00:05:31,00:05:33,1
00:05:34,00:05:34,2
00:05:36,00:05:37,1
00:05:38,00:05:39,1
00:05:40,00:05:42,2
00:05:43,00:05:45,1
00:05:45,00:05:53,2
00:05:54,00:06:01,2
00:06:01,00:06:02,1
00:06:02,00:06:05,2
00:06:05,00:06:07,1
00:06:07,00:06:11,2
00:06:14,00:06:16,2
00:06:17,00:06:19,1
00:06:19,00:06:21,1
00:06:22,00:06:27,2
00:06:27,00:06:32,1
00:06:32,00:06:36,2
00:06:36,00:06:44,1
00:06:44,00:06:46,2
00:06:46,00:06:47,1
00:06:48,00:06:53,1
00:06:54,00:06:55,2
00:06:56,00:06:59,2
00:07:00,00:07:01,1
00:07:01,00:07:02,2
