start_time,end_time,speaker_id
00:00:13,00:00:13,11
00:00:14,00:00:15,11
00:00:16,00:00:18,11
00:00:19,00:00:22,11
00:00:23,00:00:24,11
00:00:24,00:00:25,11
00:00:26,00:00:27,11
00:00:29,00:00:30,11
00:00:31,00:00:44,11
00:00:58,00:00:59,11
00:01:00,00:01:01,11
00:01:02,00:01:03,11
00:01:04,00:01:05,11
00:01:07,00:01:08,11
00:01:09,00:01:09,11
00:01:54,00:02:01,17
00:02:01,00:02:09,17
00:02:10,00:02:14,17
00:02:15,00:02:16,17
00:02:23,00:02:26,11
00:02:27,00:02:29,11
00:02:29,00:02:30,11
00:02:31,00:02:32,11
00:02:35,00:02:38,17
00:02:38,00:02:38,11
00:02:40,00:02:41,11
00:02:41,00:02:44,11
00:02:44,00:02:47,11
00:02:47,00:02:51,11
00:02:51,00:03:05,11
00:03:20,00:03:23,14
00:03:24,00:03:25,14
00:03:25,00:03:25,12
00:03:25,00:03:26,14
00:03:26,00:03:26,14
00:03:26,00:03:28,12
00:03:29,00:03:30,12
00:03:30,00:03:30,12
00:03:31,00:03:32,12
00:03:32,00:03:32,12
00:03:44,00:03:45,12
00:03:48,00:03:49,12
00:03:52,00:03:52,12
00:03:52,00:03:53,12
00:04:02,00:04:02,11
00:04:03,00:04:03,11
00:04:03,00:04:04,11
00:04:05,00:04:07,11
00:04:07,00:04:12,11
00:04:13,00:04:14,11
00:04:14,00:04:15,11
00:04:16,00:04:16,11
00:04:17,00:04:21,11
00:04:22,00:04:22,11
00:04:23,00:04:26,11
00:04:27,00:04:27,11
00:04:28,00:04:29,11
00:04:30,00:04:30,11
00:04:30,00:04:31,11
00:04:31,00:04:32,11
00:04:33,00:04:33,11
00:04:37,00:04:39,11
00:04:40,00:04:41,11
00:04:41,00:04:42,11
00:04:42,00:04:43,11
00:04:43,00:04:43,11
00:04:45,00:04:45,8
00:04:45,00:04:45,11
00:04:46,00:04:47,8
00:04:48,00:04:50,8
00:04:50,00:04:51,8
00:04:51,00:04:55,8
00:04:55,00:04:55,11
00:04:55,00:04:56,8
00:04:56,00:04:56,11
00:04:56,00:04:56,8
00:04:56,00:04:57,11
00:04:58,00:04:59,11
00:04:59,00:05:01,11
00:05:02,00:05:04,11
00:05:04,00:05:05,11
00:05:06,00:05:07,11
00:05:07,00:05:08,11
00:05:09,00:05:10,11
00:05:10,00:05:12,11
00:05:12,00:05:16,11
00:05:17,00:05:18,11
00:05:19,00:05:21,11
00:05:21,00:05:24,11
00:05:24,00:05:26,11
00:05:27,00:05:27,11
00:05:28,00:05:29,11
00:05:29,00:05:34,11
00:05:36,00:05:37,11
00:05:38,00:05:40,11
00:05:41,00:05:43,11
00:05:44,00:05:44,11
00:05:45,00:05:45,11
00:05:46,00:05:47,11
00:05:48,00:05:48,11
00:05:49,00:05:51,11
00:05:52,00:05:53,11
00:05:54,00:05:57,11
00:05:57,00:05:59,11
00:06:00,00:06:01,11
00:06:17,00:06:17,8
00:06:18,00:06:18,4
00:06:18,00:06:19,8
00:06:19,00:06:19,4
00:06:20,00:06:22,8
00:06:22,00:06:23,11
00:06:23,00:06:24,11
00:06:24,00:06:24,8
00:06:24,00:06:24,11
00:06:25,00:06:26,11
00:06:26,00:06:27,11
00:06:32,00:06:33,11
00:06:33,00:06:34,11
00:07:01,00:07:01,11
00:07:02,00:07:03,11
00:07:03,00:07:04,11
00:07:04,00:07:08,11
00:07:09,00:07:09,11
00:07:10,00:07:11,11
00:07:13,00:07:15,11
00:07:15,00:07:16,11
00:07:17,00:07:18,11
00:07:18,00:07:20,11
00:07:21,00:07:22,11
00:07:23,00:07:24,11
00:07:25,00:07:27,11
00:07:27,00:07:27,12
00:07:27,00:07:28,11
00:07:28,00:07:30,11
00:07:30,00:07:31,11
00:07:32,00:07:33,11
00:07:33,00:07:34,11
00:07:34,00:07:37,11
