patient_tokens,doctor_tokens
55,83
55,53
29,67
19,60
80,68
90,150
50,63
101,136
80,114
85,106
29,133
82,108
39,70
47,78
68,103
64,85
85,114
73,94
104,87
53,82
48,112
45,69
55,68
70,127
74,105
55,80
45,124
57,95
97,85
87,113
57,122
86,210
108,198
45,181
103,85
60,116
90,146
53,90
39,86
42,67
45,137
64,123
86,117
99,113
46,93
88,127
64,118
56,113
66,120
79,108
62,102
75,91
52,86
90,113
54,96
36,93
79,76
53,93
91,99
43,61
48,67
53,121
179,145
76,102
58,81
74,78
75,112
97,141
85,110
72,131
70,97
73,105
46,95
63,106
98,98
100,147
67,102
53,96
58,92
58,117
38,122
71,185
58,112
62,126
77,116
64,104
74,76
45,91
122,183
51,135
91,122
60,58
84,106
63,118
43,89
48,99
35,85
52,83
34,84
80,120
112,109
49,110
58,109
106,142
67,119
67,90
65,97
61,111
31,130
53,144
43,127
50,103
31,136
48,74
51,104
42,69
56,94
47,91
80,115
72,83
60,79
43,93
42,150
78,101
60,77
42,149
48,133
66,89
45,146
70,80
41,70
40,58
22,77
51,100
57,107
56,121
34,86
76,132
52,88
57,70
29,112
22,79
10,43
31,100
35,80
50,85
70,79
42,99
39,65
28,90
75,97
37,107
77,100
72,70
38,66
51,90
179,204
43,112
23,73
30,54
49,80
30,82
37,61
86,141
107,133
21,74
33,72
77,63
51,62
23,75
98,151
49,96
51,80
65,62
42,118
23,78
43,113
66,109
66,107
53,128
65,116
46,83
33,129
63,118
76,81
95,135
68,75
57,64
38,77
69,152
90,115
70,152
43,131
67,158
56,140
70,140
71,109
27,96
55,97
46,81
23,84
78,86
46,76
55,85
41,82
52,81
67,132
76,118
75,120
43,84
59,92
44,108
43,118
107,155
60,182
90,124
160,143
58,92
71,96
55,117
33,81
58,129
78,140
60,104
66,149
67,119
68,113
49,96
60,108
65,93
48,91
49,92
54,119
40,126
89,103
59,149
65,117
64,104
52,87
55,105
47,84
32,77
79,106
58,87
33,127
32,85
34,97
28,88
66,109
61,85
58,125
43,111
72,90
63,93
83,111
64,121
131,92
58,71
66,92
61,92
32,84
43,64
54,92
35,73
38,93
39,80
109,143
67,125
63,129
39,84
80,147
70,145
37,56
69,108
107,154
58,96
53,101
39,69
48,72
48,98
37,96
93,129
60,124
43,94
86,112
29,64
61,100
40,97
68,84
29,74
35,104
36,113
55,116
61,99
112,109
28,111
39,86
45,87
43,83
70,92
36,63
57,106
29,49
61,76
117,197
73,109
72,102
42,113
62,71
61,107
41,59
116,175
54,98
62,154
54,148
56,72
37,88
56,107
54,96
30,124
49,113
39,102
41,62
37,108
28,73
27,65
28,57
57,83
43,107
57,82
59,82
50,62
45,82
66,98
36,76
46,58
41,85
46,59
39,78
78,140
69,135
72,105
43,100
54,115
54,62
97,124
61,85
79,111
71,171
40,130
29,109
87,112
47,103
81,160
60,111
86,111
43,101
59,110
65,104
60,127
45,105
81,142
46,117
38,118
44,109
42,101
66,124
53,94
39,122
52,83
81,86
34,101
48,221
59,96
84,133
76,142
82,370
71,137
41,109
54,107
30,92
30,87
32,91
44,96
16,86
73,116
49,101
12,78
48,91
126,157
138,184
34,42
24,45
85,145
90,125
85,110
33,70
32,111
36,92
29,89
75,111
59,91
58,120
42,95
